,output
15456,"원목가구제작A
(41529) 대구광역시 북구 동북로 285 4층 대구가구교육학원 
053-956-0010
neony2k@naver.com
430,920 원
총54시간"
15457,"케익데코레이션 자격증 취득과정
(10564) 경기도 고양시 덕양구 삼송로 12 (원흥동) 414호, 415호, 508호, 509호 
031-918-6008
fbi_baikng@fbibaking.co.kr
414,800 원
총61시간"
15458,"컴퓨터활용능력1급(실기) 엑셀,엑세스 활용
(14644) 경기도 부천시 부천로 4 (심곡동) 5층 
032-654-2111
soriro777@gmail.com
234,000 원
총39시간"
15459,"자동차광택코팅과정
(18286) 경기도 화성시 야목동길 11 (매송면) 1층일부, 2층 
031-293-3117
sooahzion@naver.com
1,000,000 원
총120시간"
15460,"조경기능사 1차취득(필기)
(22636) 인천광역시 서구 검단로 474 (왕길동 뷰비스타운) 6층 
032-563-4700
gd-hrd@naver.com
436,480 원
총64시간"
15461,"3D프린터DIY 및 제품제작 (시제품 등) 운영실무과정
(41855) 대구광역시 서구 달구벌대로 1683 (내당동) 4층 
053-253-0211
onmiracle@hanmail.net
534,300 원
총78시간"
15462,"패션가죽제품제작 가방A
(51496) 경상남도 창원시 성산구 마디미서로 26 한독빌딩 403호 레더볼사가죽공예학원 
055-274-7488
leatherbolsa@naver.com
358,180 원
총39시간"
15463,"파이널컷프로 301 & 모션 애플공인교육 (영상 고급 편집 및 CG 작업)
(137903) 서울특별시 서초구 강남대로97길 17 신일빌딩 4층 
02-512-3492
mfk.institute@gmail.com
720,000 원
총36시간"
15464,"배관실기(에너지관리기능장,배관기능장)
(21507) 인천광역시 남동구 백범로 425 (간석동 인예교육원) 3층 일부, 5층 일부(간석동) 
032-435-2321
hdac7@naver.com
1,066,960 원
총48시간"
15465,"소방시설관리사 취득(2차_소방시설의 설계 및 시공_전력투구)
(47284) 부산광역시 부산진구 부전로 75-5 (부전동) 3층일부(부전동) 
051-817-0119
makesoon@naver.com
500,000 원
총42시간"
15466,"국가기술자격증 화훼장식기능사 양성과정A(특강반)
(06044) 서울특별시 강남구 강남대로132길 11 (논현동 성지빌딩) 1층, 2층 
02-540-5436
hyeins7@naver.com
461,220 원
총39시간"
15467,"SOLIDWORKS(솔리드웍스) 3D설계 초급_A
(16591) 경기도 수원시 권선구 덕영대로 975 (세류동) 1층,2층,3층 
031-251-4512
kcm6025@dwcaecam.co.kr
350,000 원
총42시간"
15468,"한식 실무마스터A
(12237) 경기도 남양주시 사릉로 14 금곡프라자 306호/408호 
031-595-0560
ooooohr@hanmail.net
882,315 원
총63시간"
15469,"소방기술사 취득반 (평가)
(07301) 서울특별시 영등포구 영등포로 194 (영등포동4가) 홍익금융프라자 6층 일부 
02-2274-0119
md119ac@daum.net
920,000 원
총96시간"
15470,"스프링부트 기반 웹사이트 구축
(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동) 
02-336-9008
suave0@tjoeun.co.kr
397,200 원
총60시간"
15471,"유러피안 건강빵[치아바타,식빵,깜빠뉴]
(06615) 서울특별시 서초구 서초동 강남대로 405(통영빌딩) 13층, 14층 
02-3482-5200
mylee@hscook.com
314,800 원
총36시간"
15472,"네일디자인+드릴실무과정
(08280) 서울특별시 구로구 구로중앙로 135-1 (구로동 청자빌딩) 5층 일부 
02-854-1113
bdream104@naver.com
452,900 원
총70시간"
15473,"파스타와 카페브런치과정
(16269) 경기도 수원시 장안구 팔달로 269 (영화동 북문빌딩) 3층 
031-258-2141
happyacademy@hanmail.net
296,400 원
총39시간"
15474,"[국가자격]화훼장식산업기사 실기대비반
(16456) 경기도 수원시 팔달구 향교로47번길 2 (매산로2가) 2층 일부, 4층 일부 (매산로2가, 한림빌딩) 
031-547-9585
flowerschool@coqueli.co.kr
818,200 원
총90시간"
15475,"짜맞춤가구제작과정
(18148) 경기도 오산시 동부대로568번길 57 (부산동) 가동 1층 일부 
031-376-9231
bank7893@naver.com
766,080 원
총96시간"
15476,"전기 기능장 2차 취득 대비
(07301) 서울특별시 영등포구 영신로34길 10 (영등포동4가 영남빌딩) 4층 일부 
02-2068-2854
gazet200@hotmail.com
724,240 원
총80시간"
15477,"파이썬(Python)활용 빅데이터 분석 및 시각화
(08292) 서울특별시 구로구 구로동 구로중앙로34길 33-4(영림빌딩) 지하1층 일부(사무실), 3층, 4층 
02-1661-1429
bulsunghang@naver.com
238,320 원
총36시간"
15478,"기초부터 시작하는 일러스트&포토샵 GTQ취득 및 굿즈 제작(팬시, 패브릭, 문화 상품)
(18453) 경기도 화성시 동탄중심상가2길 26-21 (반송동 로드프라자) 4층 
031-613-5008
nasreddin@nate.com
415,200 원
총60시간"
15479,"왁싱실무과정
(151844) 서울특별시 관악구 남부순환로 1724 경원빌딩 2,3층(2호선봉천역 2번출구앞) 
02-885-2598
gmbbeauty@naver.com
514,750 원
총64시간"
15480,"유니티(Unity) 게임프로그래밍 입문
(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동) 
02-336-9008
suave0@tjoeun.co.kr
280,800 원
총45시간"
15481,"해외 전자상거래 구매대행(네이버 스마트 스토어팜)
(03190) 서울특별시 종로구 종로 78 (종로2가 미려빌딩) 3층, 5층, 6층 
02-733-8781
jr@ezenac.co.kr
269,490 원
총39시간"
15482,"요양보호사 취득(간호,물리치료사 등 자격증소지자반)
(07024) 서울특별시 동작구 남부순환로 2053 (사당동) 3층 
02-525-7745
sdn727@naver.com
250,000 원
총50시간"
15483,"소방시설관리사 취득(2차_소방시설의 점검실무행정_전력투구)
(47284) 부산광역시 부산진구 부전로 75-5 (부전동) 3층일부(부전동) 
051-817-0119
makesoon@naver.com
500,000 원
총42시간"
15484,"파이썬(Python) 프로그래밍
(08292) 서울특별시 구로구 구로동 구로중앙로34길 33-4(영림빌딩) 지하1층 일부(사무실), 3층, 4층 
02-1661-1429
bulsunghang@naver.com
238,320 원
총36시간"
15485,"식물 가드닝 상품디자인 과정 (홈 플렌테리어)
(04023) 서울특별시 마포구 월드컵로 33 (합정동) 2층 
02-323-8552
andante_hong@nate.com
602,740 원
총60시간"
15486,"바리캉 커트실무(속성반)
(02490) 서울특별시 동대문구 홍릉로 28 (청량리동 성일빌딩) 3층 일부 
02-957-0915
beautynarest@naver.com
302,330 원
총39시간"
15487,"레벨업_홈택스를 활용한 종합소득세신고실무 I
(44719) 울산광역시 남구 삼산중로 56 (삼산동) 10층,11층 
052-260-7949
ulsandapa@naver.com
255,840 원
총39시간"
15488,"에너지관리+배관기능장실기
(07366) 서울특별시 영등포구 영신로15길 7 (영등포동 정립빌딩) 1층일부,2층 
02-845-1119
21kirasung@naver.com
950,000 원
총48시간"
15489,"[주말]유튜브영상편집[프리미어+애프터이펙트+유튜브활용]
(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F 
02-951-0008
no1ezen@naver.com
303,480 원
총54시간"
15490,"케익데코레이션반
(06615) 서울특별시 서초구 서초동 강남대로 405(통영빌딩) 13층, 14층 
02-3482-5200
mylee@hscook.com
294,800 원
총36시간"
15491,"떡 카페 디저트 메뉴 (음료, 수제청, 한식디저트, 퓨전떡) 자격증
(07306) 서울특별시 영등포구 영등포동1가 경인로 882(여의도씨티아이) 2층 한국식품공예연구원 디저트케이크떡학원 
02-2678-8834
cer@krifa.kr
673,200 원
총60시간"
15492,"네일미용실무(젤 아트+드릴)
(31104) 충청남도 천안시 서북구 봉정로 346 (두정동) 메트로빌딩 3층 나레스트 천안 미용학원 
041-551-7551
narest7551@naver.com
517,600 원
총80시간"
15493,"한식 디저트
(61256) 광주광역시 북구 북문대로 113 영일빌딩 3층 304호 
062-529-5253
cookzzang2@hanmail.net
364,800 원
총48시간"
15494,"한식조리기능사 취득(이론+실기)
(42498) 대구광역시 남구 월배로 470 4층, 402호 서부요리학원 
053-622-8880
sbcook@naver.com
820,800 원
총108시간"
15495,"실무형 스프링 백엔드 엔지니어 양성과정
(06210) 서울특별시 강남구 테헤란로44길 8 (역삼동) 12층 
02-1522-8016
contact@teamsparta.co
19,529,400 원
총1076시간"
15496,"(2024) 전기제어 기술자 향상교육
(48733) 부산광역시 동구 중앙대로226번길 7-8 (초량동 예일빌딩) 3층일부 ~ 7층일부 
051-805-7070
aks1228@hanmail.net
1,870,050 원
총210시간"
15497,"굴착기운전기능사 자격증취득과정(필기+실기)
(12770) 경기도 광주시 염소골길 28-11 (목동) 그린직업전문학교주식회사 
031-754-9066
green0066@naver.com
1,452,000 원
총200시간"
15498,"AWS를 활용한 자바(JAVA),스프링(Spring)기반 풀스택 개발자 양성
(54930) 전라북도 전주시 덕진구 백제대로 572 (금암동) 5층 이젠IT아카데미학원 
063-276-2380
kzzang711@naver.com
8,529,300 원
총900시간"
15499,"(2024)제과기능사자격실기과정(단기속성반)
(55081) 전라북도 전주시 완산구 용머리로 62 (효자동1가 국민은행효자동지점) 4층전부, 5층일부 
063-284-6262
amy3003@naver.com
500,000 원
총52시간"
15500,"프로그래머스 데브코스: 클라우드 기반 프론트엔드 엔지니어링
(06627) 서울특별시 서초구 강남대로 327 (서초동 대륭서초타워) 2층 프로그래머스 
--
greppedu@grepp.co
14,520,000 원
총800시간"
15501,"컴퓨터활용 사무행정 실무(한글,파워포인트,엑셀)
(17035) 경기도 용인시 처인구 백옥대로2366번길 7-9 (모현읍 헤어링) 2층 
031-333-6005
soongi74@hanmail.net
540,000 원
총90시간"
15502,"요앙보호사 국가 자격증 취득 과정
(31492) 충청남도 아산시 북수로 104 4층 
041-541-8680
seek3701@naver.com
900,800 원
총320시간"
15503,"네일미용실무(네일아트, 네일드릴)
(28510) 충청북도 청주시 상당구 교동로3번길 45 (북문로2가) (2,3,4,5,6층) 
043-256-4287
ran4287@hanmai.net
970,500 원
총150시간"
15504,"회계기초,전산회계1급,전산세무2급 자격증 취득
(21110) 인천광역시 계양구 계양대로 61 (작전동) 상운빌딩 4층일부, 5층일부 
032-554-3335
youhk2004@hanmail.net
1,049,600 원
총160시간"
15505,"ITQ마스터(한글,엑셀,파워포인트)취득 A
(11651) 경기도 의정부시 시민로 80 (의정부동 센트럴타워) 6층 617호/616호/613호/609호, 7층 713호/718호 
031-837-4111
si2111@naver.com
360,000 원
총60시간"
15506,"갇힌사고언박싱과문제해결의기술
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
73,780 원
총34시간"
15507,"일러스트 기초부터 실무테크닉(GTQI 취득) C
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
73,780 원
총34시간"
15508,"피부미용실무(피부미용전후면관리,얼굴관리,왁싱)
(28510) 충청북도 청주시 상당구 교동로3번길 45 (북문로2가) (2,3,4,5,6층) 
043-256-4287
ran4287@hanmai.net
970,500 원
총150시간"
15509,"파워포인트(PPT) 기초부터 실무테크닉
(11651) 경기도 의정부시 시민로 80 (의정부동 센트럴타워) 6층 617호/616호/613호/609호, 7층 713호/718호 
031-837-4111
si2111@naver.com
234,000 원
총39시간"
15510,"요양보호사 자격증 취득(신규자)
(405835) 인천광역시 남동구 구월남로 163 5층 503호(구월동, 토성프라자) 
032-468-1954
caredh@naver.com
880,000 원
총320시간"
15511,"아파트경리실무+집합경리실무(XpERP, 관리소ERP1급, 집합건물ERP매니저2급, ERP마스터)
(18390) 경기도 화성시 진안동 떡전골로 109 2층 
031-8019-8432
016-643-6028@daum.net
1,702,000 원
총200시간"
15512,"요양보호사 자격 취득 과정2-1
(18145) 경기도 오산시 경기대로 108 3층 301호 
031-373-2509
theone020@naver.com
789,760 원
총320시간"
15513,"남성커트
(50926) 경상남도 김해시 가락로 1 (부원동) 동영빌딩3층 
055-323-7270
choi4315@naver.com
1,035,200 원
총160시간"
15514,"[총무사무원] 컴퓨터활용능력 2급(필기+실기)
(44611) 울산광역시 남구 대학로 96 (무거동) 3층 (미래정보컴퓨터학원) 
052-247-1113
mr2471113@naver.com
545,220 원
총78시간"
15515,"전기산업기사자격증 필기
(34910) 대전광역시 중구 계백로1685번길 7 2층 (오류동) 
042-533-6114
smartea@hanmail.net
945,300 원
총138시간"
15516,"요양보호사자격취득과정(표준반)
(27366) 충청북도 충주시 천변로 163 (교현동) 3층 301호 
043-848-3240
chjuywca@hanmail.net
1,000,000 원
총320시간"
15517,"ITQ(한글,엑셀,파워포인트) Master 및 사무행정 실무
(560802) 전라북도 전주시 완산구 팔달로 199 4층 
063-285-8181
sangoni2@hanmail.net
720,000 원
총120시간"
15518,"종자기능사 실기
(24399) 강원도 춘천시 순환대로 716 (동내면) 2층 201호 
033-264-4300
gwfarm77@naver.com
460,800 원
총60시간"
15519,"요양보호사 야간반
(02480) 서울특별시 동대문구 홍릉로17길 44 1층(구)제기동289-20 
02-969-0043
allincare@naver.com
1,000,000 원
총320시간"
15520,"아이돌보미 인력 양성과정
(703805) 대구광역시 서구 달구벌대로337길 9 
053-285-1331
vision1331@hanmail.net
470,000 원
총120시간"
15521,"속눈썹연장 현장실무(연장&펌)
(06129) 서울특별시 강남구 테헤란로1길 28-11 (역삼동) 조이빌딩2층 
02-3453-8881
meijiu8891@naver.com
541,720 원
총76시간"
15522,"캐드(CAD)디자인도면작성(60H)
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
399,600 원
총60시간"
15523,"전기기능사 자격증 취득 실기과정
(44691) 울산광역시 남구 삼산로 79 (달동) 6층 전체, 5층 일부 
052-274-2882
naji6292@naver.com
508,250 원
총45시간"
15524,"데이터처리 기반 자바 풀스택 개발자 과정
(04108) 서울특별시 마포구 백범로 23 (신수동 거구장) 3층일부, B1 7호(상담실,휴게실),9호(4강의실,5강의실) 
02-739-7235
ict-1@naver.com
9,097,920 원
총960시간"
15525,"GCS 로스팅Lv.1+브루잉Lv.1+커피등급평가사Lv.1 자격취득
(42640) 대구광역시 달서구 달구벌대로 1607 2층 
053-558-2234
e2coffee@naver.com
577,500 원
총75시간"
15526,"화성 남자 금성 여자의 디톡스 커뮤니케이션
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
50,490 원
총17시간"
15527,"(산대특) 전기차부품 및 스마트팩토리 활성화에 따른 업무변화 대응을 위한 설계제작(CAD/CAM) 향상과정
(42612) 대구광역시 달서구 달구벌대로251안길 15 (이곡동) 3~9층 
053-427-3313
ynelec1@naver.com
339,560 원
총40시간"
15528,"NEW 제과제빵기능사실기 한번에 취득과정
(05248) 서울특별시 강동구 천호대로 995 1층일부,4층일부,5층일부,6층 
02-472-8400
mmsm64@naver.com
924,800 원
총136시간"
15529,"ITQ마스터(한글,파워포인트,엑셀)자격증
(573874) 전라북도 군산시 대학로 195 무궁화빌딩 2층 
063-461-4758
fun1020@nate.com
540,000 원
총90시간"
15530,"전기기능사 자격증 필기과정
(61250) 광주광역시 북구 무등로 188 (신안동) 지하(101실습실), 2층(206강의실, 207강의실, 208강의실), 4층(406강의실, 401실습실, 402실습실, 컴퓨터실, 공구실) 
062-529-1411
jeil5232828@hanmail.net
822,000 원
총120시간"
15531,"제과제빵기능사 취득과정(이론+실기)
(02014) 서울특별시 중랑구 동일로 823-1 3층, 4층 
02-491-9992
lllop12@naver.com
1,142,400 원
총168시간"
15532,"[핵집]빅데이터 분석기사(필기)
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
193,050 원
총65시간"
15533,"임유정의 스피치 트레이닝, Before & After
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
50,490 원
총17시간"
15534,"네일실무과정
(63083) 제주특별자치도 제주시 노형8길 16 (노형동) 7층 
064-744-4179
m000107@naver.com
1,035,200 원
총160시간"
15535,"바리스타 2급 자격취득 단기과정(필기&실기) B반
(34695) 대전광역시 동구 은어송로 42-3 2층 
042-272-1510
eunju3126@naver.com
300,300 원
총39시간"
15536,"AI를 활용한 유니티 기반 실감형콘텐츠(디지털트윈) 개발자 양성과정
(26412) 강원도 원주시 학성길 67 
033-734-2580
jakim@wjmbc.co.kr
18,295,200 원
총1008시간"
15537,"엑셀 기초&실무 활용
(04370) 서울특별시 용산구 청파로 139-21 산 7-2번지 
02-714-9762
yongsanedu@seoulwomanup.or.kr
336,000 원
총56시간"
15538,"쇼핑몰창업과 마케팅(포토샵,카페24,블로그,유튜브)
(42029) 대구광역시 수성구 달구벌대로 2495 (범어동 LG 하이프라자) 4층 일부 
053-746-7378
secoma7378@naver.com
1,382,000 원
총200시간"
15539,"법률사무원 취업과정(종합반)
(08591) 서울특별시 금천구 가산디지털1로 2 (가산동 우림라이온스밸리2차) 제2차 210호 
02-6049-4180
sjit@sjit.or.kr
909,840 원
총136시간"
15540,"요양보호사자격증취득과정(신규자)
(780943) 경상북도 경주시 금성로 295 10동 2층(성건동, 중앙시장상가) 
054-743-2097
km2615@naver.com
850,000 원
총320시간"
15541,"한식조리기능사 자격증(실기) 60
(47734) 부산광역시 동래구 중앙대로1325번길 29 (온천동) 지히1층, 6층 
051-818-3000
syh6000@hanmail.net
456,000 원
총60시간"
15542,"요양보호사 취득과정Ⅰ
(21510) 인천광역시 남동구 백범로 370 3층 
032-426-2008
72namdong@hanmail.net
880,000 원
총320시간"
15543,"프로그래머스 데브코스: 클라우드 기반 백엔드 엔지니어링
(06627) 서울특별시 서초구 강남대로 327 (서초동 대륭서초타워) 2층 프로그래머스 
--
greppedu@grepp.co
14,520,000 원
총800시간"
15544,"가죽제품제작(초중급)
(151841) 서울특별시 관악구 쑥고개로 75 광장빌딩 1~5F 
02-886-9523
kwoman2060@naver.com
191,520 원
총24시간"
15545,"ITQ(한글+엑셀+파워포인트)자격증취득[사무행정]
(50629) 경상남도 양산시 양산역7길 10 (중부동 양산역프라자) 2층 
055-383-7260
midassang@naver.com
600,000 원
총100시간"
15546,"네이버스마트스토어실무
(02583) 서울특별시 동대문구 왕산로 60-1 (용두동) 포은빌딩 6,7층 
02-921-2020
d-2020@hanmail.net
269,490 원
총39시간"
15547,"SCA 브루잉1,2 + 센서리1,2 + 그린커피1,2 자격취득
(42640) 대구광역시 달서구 달구벌대로 1607 2층 
053-558-2234
e2coffee@naver.com
577,500 원
총75시간"
15548,"간호조무사자격증취득과정
(04598) 서울특별시 중구 동호로 189 5층 
02-2256-3200
ymetronurse@naver.com
3,188,960 원
총1520시간"
15549,"넷플릭스&삼성,그들에게서배운다
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
73,780 원
총34시간"
15550,"반려동물(애견) 의류 및 소품제작
(21315) 인천광역시 부평구 청천동 부평대로 283(부평우림라이온스밸리) A동 B102호 B201호 B208호 
032-719-8047
sy19@loy-edu.or.kr
397,200 원
총60시간"
15551,"양식조리기능사 취득과정(이론+실기)
(61041) 광주광역시 북구 설죽로 518 삼영빌딩 4층 일부 
062-526-0098
88858886@daum.com
684,000 원
총90시간"
15552,"탁월한팀장은타고나는게아니라만들어진다
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
73,780 원
총34시간"
15553,"위기와기회의시대혁신방법을혁신하라
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
73,780 원
총34시간"
15554,"행복한 소통을 만드는 리더의 기술, 감성 코칭
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
50,490 원
총17시간"
15555,"[물류전문가양성코스] 물류비관리와 공장물류
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
50,490 원
총17시간"
15556,"애견미용사 3급 자격증
(07371) 서울특별시 영등포구 경인로 706 (문래동1가 한양빌딩) 4층 일부 
02-833-0039
japet7@naver.com
2,912,800 원
총440시간"
15557,"요양보호사 자격 취득과정(주간,야간)
(21390) 인천광역시 부평구 부흥로294번길 4 403호 
032-715-6258
jhp4798@naver.com
848,000 원
총320시간"
15558,"포토샵(GTQ)+일러스트(GTQi) 자격 취득과정
(11429) 경기도 양주시 서정로 27 (은현면 서정대학) 서정대학교 
031-860-5235
mean311@seojeong.ac.kr
983,500 원
총175시간"
15559,"(친환경건축시공)주택 리모델링(집수리)기능인력 양성과정(건축목공,내부벽체단열,온수,욕실기구,타일)
(14484) 경기도 부천시 성곡로 69 (여월동) 2층,4층 
032-678-3650
yoseph2018@naver.com
1,786,800 원
총240시간"
15560,"요양보호사 자격 취득과정(표준반)
(220956) 강원도 원주시 원일로 121 일산동3층 
033-736-0020
younghee5867@hanmail.net
900,160 원
총320시간"
15561,"컴퓨터활용 기초 실무(한글+엑셀+파워포인트)
(11921) 경기도 구리시 건원대로 44 (인창동 태영빌딩) 307호 
031-567-0003
guri@himedia.co.kr
234,000 원
총39시간"
15562,"컴퓨터활용능력2급 + OA실무(한글, 엑셀, 파워포인트)
(17854) 경기도 평택시 비전2로 196 504호, 505호 전부(비전동) 
031-647-0502
good_myjob@naver.com
540,000 원
총90시간"
15563,"떡 제조기능사 자격증 취득과정(이론+실기)
(63170) 제주특별자치도 제주시 중앙로 126 (삼도이동) 3층,4층일부 
064-725-1007
kim_jori@naver.com
469,200 원
총69시간"
15564,"유니티(Unity)기반 메타버스(가상현실VRAR) 콘텐츠제작(A)
(16455) 경기도 수원시 팔달구 매산로1가 덕영대로 905(아이메카 상가) 5층, 7층, 8층, 11층 
031-243-2111
altong25@naver.com
2,118,400 원
총320시간"
15565,"누구나 취득 가능한 ITQ(엑셀+한글+파워포인트)자격증 B
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
360,000 원
총60시간"
15566,"애견미용사 3급 자격취득과정
(31122) 충청남도 천안시 동남구 대흥로 324 3층 천안애견미용학원 
041-522-4312
bhslsh@gmail.com
2,998,000 원
총400시간"
15567,"컴퓨터활용능력2급(필기+실기)
(14634) 경기도 부천시 원미구 심곡동 부천로29번길 7(부천메디컬프라자) 12층(본관), 4층일부 / 경기도 부천시 역곡로2번길7, 6층(역곡별관) 
032-665-5522
bcwoori@naver.com
600,000 원
총100시간"
15568,"컴퓨터활용능력 1급 자격증 컴활 올인원(필기&실기)
(62300) 광주광역시 광산구 수등로 248 (신가동) 2층 
062-954-6766
visioncomedu@naver.com
594,000 원
총99시간"
15569,"바리스타라떼아트
(14546) 경기도 부천시 석천로 171 (중동 중동프라자) 5층 
032-326-3004
ilwom3004@naver.com
281,000 원
총30시간"
15570,"(산대특 취창업)SNS마케팅 디지털 콘텐츠(웹디자인)제작 전문가 양성
(561180) 전북 전주시 덕진구 금암동 667-52번지 B L 4층 
063-276-2381
dntjswjd@naver.com
2,922,400 원
총400시간"
15571,"미용사(네일) 자격증 취득
(16461) 경기도 수원시 팔달구 덕영대로 923-10 (매산로1가 비젼포에버) 413~423호 
031-306-3477
ibr_sw@naver.com
1,811,600 원
총280시간"
15572,"조경기능사 필기 취득과정
(22636) 인천광역시 서구 검단로 474 (왕길동 뷰비스타운) 6층 
032-563-4700
gd-hrd@naver.com
409,200 원
총60시간"
15573,"실무형 프론트엔드 엔지니어 양성과정
(06210) 서울특별시 강남구 테헤란로44길 8 (역삼동) 12층 
02-1522-8016
contact@teamsparta.co
19,293,450 원
총1063시간"
15574,"요양보호사 자격증 취득과정 [주간/야간] (신규자)
(44452) 울산광역시 중구 화진길 13-2 (태화동 리버스위트) 상가동103-5호 801호 
052-298-8333
je478@naver.com
920,000 원
총320시간"
15575,"컴퓨터활용능력2급 필기&실기 취득과정
(57967) 전라남도 순천시 연향동 연향3로 23(킴스제너럴) 3층 
061-743-4391
rearleg@naver.com
600,000 원
총100시간"
15576,"한 달 만에 끝내는 경영분석실무
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
80,190 원
총27시간"
15577,"애견미용고급과정
(15494) 경기도 안산시 상록구 이동 양지편로 28(진성프라자) 503호, 504호 
031-408-8253
mamiag0917@naver.com
2,250,800 원
총340시간"
15578,"난생 처음 시작하는 왕초보들의 세무회계
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
50,490 원
총17시간"
15579,"융합_이머시브 미디어아트&테크 전문가 과정
(14345) 경기도 광명시 일직동 양지로 17 5층 아이벡스스튜디오 
--
miscat@sbs.co.kr
17,424,000 원
총960시간"
15580,"실내건축실무 설계 양성
(540190) 전남 순천시 장천동 63-1번지 3층 
061-744-2153
yespark2153@hanmail.net
900,000 원
총180시간"
15581,"실내건축인테리어설계디자인(캐드,MAX,스케치업)
(10414) 경기도 고양시 일산동구 중앙로 1193 (장항동 마두법조빌딩) 702호, 901호, 902호 
031-994-8111
roalsnsdkf@nate.com
1,773,200 원
총260시간"
15582,"플로리스트 직무향상
(47236) 부산광역시 부산진구 전포대로 294 서면한신하이텔 403호 
051-807-2111
luceatflower@naver.com
893,760 원
총112시간"
15583,"요양보호사자격취득과정4
(15020) 경기도 시흥시 함송로 18 대림하이츠프라자 303호 
031-431-3171
thekun1@naver.com
800,000 원
총320시간"
15584,"전산회계1급, 전산세무2급, FAT1급, TAT2급 취득 및 경리실무 테크닉 과정
(11651) 경기도 의정부시 시민로 80 (의정부동 센트럴타워) 6층 617호/616호/613호/609호, 7층 713호/718호 
031-837-4111
si2111@naver.com
1,377,600 원
총210시간"
15585,"드론 국가자격 필기대비+시뮬레이터
(21315) 인천광역시 부평구 청천동 부평대로 283(부평우림라이온스밸리) A동 B102호 B201호 B208호 
032-719-8047
sy19@loy-edu.or.kr
278,850 원
총39시간"
15586,"요양보호사 자격취득과정
(420816) 경기도 부천시 부일로 222 유은빌딩 702호 
032-661-3582
icnn@naver.com
920,000 원
총320시간"
15587,"요양보호사 자격취득과정(신규자)
(18137) 경기도 오산시 오산로 241-1 (오산동 중앙빌딩) 4층 
031-378-5345
ksks2375@naver.com
880,000 원
총320시간"
15588,"요양보호사 자격 취득과정
(16967) 경기도 용인시 기흥구 중부대로 343 (신갈동) 청록빌딩 4층 
031-281-9971
kora389@daum.net
880,000 원
총320시간"
15589,"요양보호사 자격취득과정(주간반)
(08005) 서울특별시 양천구 오목로 318 세화빌딩4층 
02-2061-0029
mokdongcare@naver.com
872,000 원
총320시간"
15590,"『영상편집』 영상편집디자인 프리미어 & 애프터이펙트
(47296) 부산광역시 부산진구 중앙대로 688 한준빌딩 2층~6층 
051-912-1000
rc_ruler@naver.com
243,360 원
총39시간"
15591,"기계설계산업기사(일반기사,기계제도기능사,캐드/인벤터활용)실기작업형
(700060) 대구 중구 남일동 109-2 2필지 제일빌딩 5층 
053-572-1005
sanghee1022@nate.com
979,500 원
총150시간"
15592,"새로운세상의비즈니스에대한이해
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
73,780 원
총34시간"
15593,"볼수록 매력적인 직장인의 공감 커뮤니케이션
(04794) 서울특별시 성동구 성수동2가 성수일로8길 59 6층(성수동2가) 
02-2163-5724
pks9464@alpaco.co.kr
50,490 원
총17시간"
